ep (ms);Acc_x;Acc_y;Acc_z;Gyro_x;Gyro_y;Gyro_z;ID;Label;Category;Set
2019-01-11 15:10:15.200;-0.17666666666666667;1.686.607.188;-0.14033333333333334;49.878;104.756;-168.416;A;bench;heavy;86
2019-01-11 15:10:15.400;-0.1885;0.886;-0.196;75.608;3.939;-0.06120000000000001;A;bench;heavy;86
2019-01-11 15:10:15.600;-0.18600000000000003;0.9233333333333333;-0.20233333333333334;1.224.613.887;19.634;-1.132.441.601;A;bench;heavy;86
2019-01-11 15:10:15.800;-0.16299999999999998;0.957;-0.214;-42.318;-172.883.965;114.756;A;bench;heavy;86
2019-01-11 15:10:16.000;-0.109;0.9666666666666667;-0.15666666666666668;-524.316.670;-2.095.169.537;208.536;A;bench;heavy;86
2019-01-11 15:10:16.200;-0.018500000000000003;0.965;-0.10350000000000001;-236.952;225.854;24.061;A;bench;heavy;86
2019-01-11 15:10:16.400;0.017333333333333336;0.8053333333333333;-0.12266666666666666;-1.732.272.125;-73.658;23.902;A;bench;heavy;86
2019-01-11 15:10:16.600;0.014499999999999999;1.018;-0.0535;73.172;-673.484.798;-2.683;A;bench;heavy;86
2019-01-11 15:10:16.800;0.017;0.9703333333333334;-0.05666666666666667;45.246;-47.316;-0.048799999999999996;A;bench;heavy;86
2019-01-11 15:10:17.000;0.0155;0.963;-0.092;56.096;-1.759.846.398;-2.634;A;bench;heavy;86
2019-01-11 15:10:17.200;-0.012333333333333333;0.9566666666666667;-0.11666666666666668;-1.042.087.934;-26.342;-0.2071999999999999;A;bench;heavy;86
2019-01-11 15:10:17.400;-0.0225;0.9075;-0.14150000000000001;1.471.139.841;-3.622;-90.244;A;bench;heavy;86
2019-01-11 15:10:17.600;-0.05266666666666667;0.8326666666666666;-0.17666666666666667;143.412;-90.488;-223.782;A;bench;heavy;86
2019-01-11 15:10:17.800;-0.11;0.8685;-0.20750000000000002;167.194;-45.368;-105.244;A;bench;heavy;86
2019-01-11 15:10:18.000;-0.13466666666666666;0.895;-0.19933333333333333;-4.878;-10.866;1.754.386.434;A;bench;heavy;86
2019-01-11 15:10:18.200;-0.122;11.145;-0.191;-143.048;-16.817;105.732;A;bench;heavy;86
2019-01-11 15:10:18.400;-0.16566666666666666;170.117.803;-0.11433333333333333;4.622;117.682;-20.866;A;bench;heavy;86
2019-01-11 15:10:18.600;-0.172;0.878;-0.1725;-64.268;80.124;1.449.136.130;A;bench;heavy;86
2019-01-11 15:10:18.800;-0.19399999999999998;0.9103333333333333;-0.17833333333333332;-24.512;67.562;-1.645.576.188;A;bench;heavy;86
2019-01-11 15:10:19.000;-0.1775;0.928;-0.1535;5.122;-35.366;8.0;A;bench;heavy;86
